127.0.0.1 - - [31/Jan/2022:08:01:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:01:31 +0530] "GET /springmvcsearch/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:01:45 +0530] "GET /springmvcsearch/home HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:01:48 +0530] "GET /springmvcsearch/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:01:50 +0530] "GET /springmvcsearch/resources/images/Maa.jpg HTTP/1.1" 200 52373
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:01:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:03:31 +0530] "GET /springmvcsearch/fileform HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:04:03 +0530] "POST /springmvcsearch/uploadimage HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:04:04 +0530] "GET /springmvcsearch/resources/images/%20Maa.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:18:28 +0530] "GET /springmvcsearch/fileform HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:19:07 +0530] "POST /springmvcsearch/uploadimage HTTP/1.1" 500 3796
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:21:05 +0530] "GET /springmvcsearch/fileform HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:21:28 +0530] "POST /springmvcsearch/uploadimage HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:21:28 +0530] "GET /springmvcsearch/resources/images/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:07 +0530] "GET /springmvcsearch/fileform HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:17 +0530] "POST /springmvcsearch/uploadimage HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:27:18 +0530] "GET /springmvcsearch/resources/images/%20Maa.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:43:21 +0530] "POST /springmvcsearch/uploadimage HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:43:22 +0530] "GET /springmvcsearch/resources/images/%20Maa.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:43:49 +0530] "GET /springmvcsearch/fileform HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:44:07 +0530] "POST /springmvcsearch/uploadimage HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [31/Jan/2022:08:44:08 +0530] "GET /springmvcsearch/resources/images/%20Maa.jpg HTTP/1.1" 404 682
